,state,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc
982,Survey Target,0.5470666289329529,0.002741787349805236,-0.846014678478241,-0.0031326690223068,0.13010068237781525,0.215651735663414,11.0,-49.0,-1136.0
983,Survey Target,0.5467929840087891,0.002506184158846736,-0.7858238816261292,-0.000749060302041471,0.1311262547969818,0.2144872397184372,9.0,-50.0,-1137.0
984,Survey Target,0.5469223856925964,0.0023949616588652134,-0.7256979942321777,0.0002226143842563033,0.1322324275970459,0.21474558115005493,14.0,-50.0,-1139.0
985,Survey Target,0.5471247434616089,0.002450230298563838,-0.665389358997345,-0.0005099151749163866,0.13248662650585175,0.2150193601846695,14.0,-50.0,-1138.0
986,Survey Target,0.5471459627151489,0.0024045580066740513,-0.6050931215286255,-0.000991513952612877,0.13076961040496826,0.21488343179225922,13.0,-50.0,-1135.0
987,Survey Target,0.5468926429748535,0.0020425780676305294,-0.5449569225311279,-0.0018220372730866075,0.1305585503578186,0.21485720574855804,9.0,-49.0,-1138.0
988,Survey Target,0.5468541383743286,0.001904444070532918,-0.48490941524505615,5.06694195792079e-05,0.13324181735515594,0.21412146091461182,3.0,-50.0,-1144.0
989,Survey Target,0.5471492409706116,0.0023337325546890497,-0.42465293407440186,0.001459080376662314,0.1353101134300232,0.2141137719154358,-3.0,-50.0,-1146.0
990,Survey Target,0.5479035377502441,0.002953235525637865,-0.3642232120037079,0.003021066542714834,0.13658876717090607,0.21472877264022827,0.0,-50.0,-1145.0
991,Survey Target,0.5485022068023682,0.003326898906379938,-0.3036385774612427,-0.00021286599803715944,0.1354026347398758,0.215505912899971,2.0,-49.0,-1142.0
992,Survey Target,0.5482908487319946,0.003544643521308899,-0.24309930205345154,-0.002914430806413293,0.13380460441112518,0.21528205275535583,8.0,-49.0,-1138.0
993,Survey Target,0.547549843788147,0.003372362582013011,-0.1827925145626068,-0.005271715112030506,0.13182412087917328,0.21554645895957947,8.0,-49.0,-1136.0
994,Survey Target,0.546551525592804,0.003021758981049061,-0.12265605479478836,-0.005205818451941013,0.13091734051704407,0.21511000394821167,8.0,-49.0,-1135.0
995,Survey Target,0.5459548830986023,0.002669351641088724,-0.06254929304122925,-0.0026794709265232086,0.13054871559143066,0.21533732116222382,8.0,-49.0,-1136.0
996,Survey Target,0.545668363571167,0.0023838954512029886,-0.002537897787988186,-0.0020070024766027927,0.1309659332036972,0.21487443149089813,8.0,-49.0,-1133.0
997,Survey Target,0.5454378128051758,0.0019903029315173626,0.05731677636504173,-0.0021527267526835203,0.12861062586307526,0.2147342711687088,8.0,-49.0,-1132.0
998,Survey Target,0.5451800227165222,0.0013855495490133762,0.11700712144374847,-0.0014293219428509474,0.12970297038555145,0.2145436704158783,3.0,-49.0,-1137.0
999,Survey Target,0.5453879237174988,0.0012484159087762237,0.1767875850200653,0.0010667667957022786,0.13243676722049713,0.2138882875442505,2.0,-49.0,-1139.0
1000,Survey Target,0.5458478927612305,0.0014324006624519825,0.23682625591754913,0.0004366582725197077,0.13285325467586517,0.21494974195957184,8.0,-49.0,-1139.0
1001,Survey Target,0.5458692312240601,0.0014211689122021198,0.2970704436302185,-0.0016647608717903495,0.13281702995300293,0.21525682508945465,8.0,-49.0,-1139.0
1002,Survey Target,0.5455276370048523,0.0013983924873173237,0.35730814933776855,-0.0018400774570181966,0.13184212148189545,0.21479573845863342,11.0,-49.0,-1137.0
1003,Survey Target,0.5452320575714111,0.0012595135485753417,0.4173024594783783,-0.0006025732145644724,0.1302880197763443,0.21415908634662628,12.0,-49.0,-1133.0
1004,Survey Target,0.5451221466064453,0.000925682601518929,0.47697776556015015,-0.000768334255553782,0.1286538541316986,0.21397079527378082,12.0,-50.0,-1130.0
1005,Survey Target,0.5450964570045471,0.0002441704273223877,0.5364660024642944,-3.102654591202736e-05,0.12793327867984772,0.2141653597354889,8.0,-50.0,-1135.0
1006,Survey Target,0.5456283092498779,-4.468858242034912e-05,0.5959759950637817,0.002607563277706504,0.1314896047115326,0.21344707906246185,2.0,-50.0,-1141.0
1007,Survey Target,0.546662449836731,0.00022868812084197998,0.655785083770752,0.004299229942262173,0.13449835777282715,0.2137763649225235,1.0,-50.0,-1143.0
1008,Survey Target,0.5475912094116211,0.0005120635032653809,0.7159671187400818,0.002808766905218363,0.13483308255672455,0.21517984569072723,0.0,-50.0,-1145.0
1009,Survey Target,0.5484535098075867,0.0009239317150786519,0.7764262557029724,0.0024247984401881695,0.13589975237846375,0.21523049473762512,7.0,-49.0,-1143.0
1010,Survey Target,0.5487270355224609,0.0011470022145658731,0.8369756937026978,-0.0005310509586706758,0.1345500946044922,0.21589401364326477,7.0,-49.0,-1142.0
1011,Survey Target,0.5486378073692322,0.0012615922605618834,0.897415816783905,-0.0024847437161952257,0.13375447690486908,0.21519723534584045,7.0,-50.0,-1138.0
1012,Survey Target,0.5480216145515442,0.001113370293751359,0.957475483417511,-0.004040333442389965,0.13235880434513092,0.2150544375181198,7.0,-49.0,-1138.0
1013,Survey Target,0.5475945472717285,0.0008620173903182149,1.0174773931503296,-0.0021423264406621456,0.1326128989458084,0.21513836085796356,7.0,-49.0,-1138.0
1014,Survey Target,0.5473489761352539,0.0007152408943511546,1.0775760412216187,-0.0017516647931188345,0.13193006813526154,0.21511177718639374,8.0,-49.0,-1137.0
1015,Survey Target,0.547217845916748,0.0005271285772323608,1.137505292892456,-0.00014047115109860897,0.13178375363349915,0.21410471200942993,11.0,-50.0,-1138.0
1016,Survey Target,0.5474859476089478,0.00037507712841033936,1.1972663402557373,3.167439717799425e-05,0.1320285201072693,0.21402619779109955,11.0,-50.0,-1138.0
1017,Survey Target,0.547592043876648,0.0002631247043609619,1.25717294216156,-0.0007441561901941895,0.13159064948558807,0.21449679136276245,10.0,-50.0,-1138.0
1018,Survey Target,0.5476354360580444,5.683302879333496e-05,1.3170995712280273,0.00035275251138955355,0.1318938434123993,0.21436846256256104,6.0,-50.0,-1139.0
1019,Survey Target,0.5483309030532837,9.319186210632324e-05,1.3769326210021973,0.00334616145119071,0.13324391841888428,0.21353735029697418,10.0,-51.0,-1140.0
1020,Survey Target,0.5492938756942749,0.00018510222434997559,1.4368265867233276,0.003067946992814541,0.13278095424175262,0.21406005322933197,10.0,-51.0,-1140.0
1021,Survey Target,0.5501263737678528,0.00010827183723449707,1.4968364238739014,0.002818755805492401,0.13264815509319305,0.2144865095615387,10.0,-51.0,-1140.0
1022,Survey Target,0.550919234752655,-3.7044286727905273e-05,1.5569275617599487,0.0028171250596642494,0.13349878787994385,0.21469274163246155,10.0,-50.0,-1141.0
1023,Survey Target,0.5516795516014099,9.804964065551758e-06,1.617167353630066,0.0028003198094666004,0.13330024480819702,0.2145889699459076,6.0,-51.0,-1142.0
1024,Survey Target,0.5525543093681335,-3.2901763916015625e-05,1.6773649454116821,0.003648822195827961,0.1350281983613968,0.21477529406547546,8.0,-50.0,-1144.0
